source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
pinduoduo,Pinduoduo,大模型算法实习生,,,,,大模型算法实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,紧缺,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
pinduoduo,Pinduoduo,服务端研发实习生,,,,,服务端研发实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
pinduoduo,Pinduoduo,算法实习生,,,,,算法实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
pinduoduo,Pinduoduo,客户端研发实习生,,,,,客户端研发实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
pinduoduo,Pinduoduo,web前端研发实习生,,,,,web前端研发实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
pinduoduo,Pinduoduo,安全实习生,,,,,安全实习生,https://careers.pddglobalhr.com/campus/intern,,,技术专场,技术,,,,上海,,,,,,,2026-03-03,,,,请通过官网岗位列表查看详情,拼多多技术专场实习生招聘
