source,company,position_id,parent_position_id,job_requirement_id,position_intention_id,position_intention_name,position_name,position_url,position_req_code,batch_id,batch_name,category_name,family_code,family_name,data_source,work_locations,interview_locations,departments,circles,circle_codes,channels,feature_tags,publish_time,modify_time,graduation_from,graduation_to,requirement,description
netease,NetEase,72298,,,,,服务端开发工程师（27届+广）,https://hr.163.com/job-detail.html?postId=72298,,,实习生招聘,技术,,,,广州市,,合作产品部,,,,,1774408753000,,,,"我们希望您：
- 计算机或相关专业，本科及以上学历；
-至少精通一门服务端常用开发语言（Golang/python/Java），并熟悉面向对象思想
- 扎实的计算机基础知识，深入理解数据结构与算法，网络通讯，操作系统等知识；
- 良好的阅读能力和逻辑分析能力，具备强烈的解决问题的意愿以及与之匹配的动手能力；
- 良好的沟通能力，能清晰、准确的在团队成员中传达自己的想法；
-对技术有热情，关注可观测性、自动化、AIOps、云原生等方向。","该岗位为校招实习岗位，有明确转正机会！需连续实习至少2个月，实习入职时间灵活！
投递直达：https://game.campus.163.com/position


您可以：
- 为世界一流的游戏提供全球化、高性能、高可用的服务平台；
- 成为具备优秀创造力团队的一员，和国内顶级的游戏研发团队一起工作，解决各种挑战性问题；
- 接触业界前沿的技术和最佳实践，并在游戏产品中落地；
"
netease,NetEase,63388,,,,,测试开发工程师实习生（智能工程机器人）,https://hr.163.com/job-detail.html?postId=63388,,,实习生招聘,技术,,,,杭州市,,伏羲机器人,,,,,1769412646000,,,,"1.本科以上学历，计算机应用、通信、电子信息、自动化等相关专业。
2.了解基本的软件测试理论和方法，如黑盒测试、白盒测试、单元测试等，能够设计和执行测试用例，熟悉测试用例的编写和管理。
3.熟悉至少一种编程语言，如Python、C++、Java等，并能够编写测试脚本和工具。
4.熟悉容器化部署和ROS机器人系统测试优先。
5.能够适应出差，需要根据项目要求进行现场测试和支持。
6.拥有良好的团队合作精神，能够在跨职能团队环境中高效协作。","1.负责工程机器人远控产品测试工作，包含功能、性能、稳定性、专项测试等工作。
2.根据产品设计需求，编写测试用例、测试计划，设计测试方案和测试数据。
3.了解产品需求，根据测试需求搭建和维护测试环境。
4.协助开发自动化测试脚本，提高测试效率和覆盖率。
5.与开发、产品、交付等团队紧密合作，确保测试过程与产品开发进度同步。
6.支持产品开发生命周期的各个阶段，确保产品高质量的交付。"
netease,NetEase,71403,,,,,游戏引擎研发实习生（27届+广/沪/杭）,https://hr.163.com/job-detail.html?postId=71403,,,实习生招聘,技术,,,,杭州市,,艺设三部,,,,,1774408769000,,,,"具备以下条件为加分项：
- 熟悉或精通计算机图形学；
- 熟悉编译原理，定制过领域专用语言（DSL）；
- 熟悉或精通计算机物理模拟系统，使用过开源或商业物理引擎；
- 熟悉Unreal、Unity等商业引擎；参与过游戏引擎或其中某个部分模块的开发加分；
- 对计算机体系结构及底层系统有一定的了解和研究，熟悉操作系统开发；
- 热爱游戏，对于创新和解决有挑战性的问题充满激情。","该岗位为校招实习岗位，有明确转正机会！需连续实习至少2个月，实习入职时间灵活！
投递直达：https://game.campus.163.com/position

您可以：
- 参与游戏引擎核心研发，包括但不限于图形模块、物理模拟、引擎工具链、性能优化等，为网易游戏各类3A产品的技术内核赋能；
- 前沿技术攻坚，探索实时光追、动态全局光照、超大规模场景渲染等图形学前沿技术；
- 负责引擎性能优化，针对线程调度、内存管理、编译系统深度调优，与顶尖团队共同定义下一代游戏画面标准；
- 持续探索前沿技术， 创造前所未有的新技术，开拓游戏引擎技术的新边界。
任职资格
我们希望您具备以下条件：
- 计算机、软件、数字媒体、数学、物理等相关专业；
- 精通C/C++编程语言及其思想，扎实的计算机基础知识，深入理解数据结构、算法、操作系统等知识；
- 良好的逻辑和综合分析能力，主动追踪前沿技术，有创新和解决有挑战性问题的意愿；
- 良好的沟通能力，能清晰、准确地在团队成员中传达自己的想法。

"
netease,NetEase,68316,,,,,生成式AI产品策划（27届+广）,https://hr.163.com/job-detail.html?postId=68316,,,实习生招聘,技术,,,,广州市,,合作产品部,,,,,1774408764000,,,,"我们希望您：
1.本科以上学历。有Stable Diffusion、Midjourney、Dalle、LLMs各类模型和应用的实践经验者优先。
2.熟练使用Office、Axure 等相关软件，具备基本的产品文档撰写功底和交互设计能力。
3.热爱 AIGC 相关技术，关注最新的 AIGC 产品动态，熟悉掌握1-2个 AIGC 产品的使用方法。
4.擅长对用户和企业需求的产品理解和表达，有较强的数据和用户行为分析能力。","该岗位为校招实习岗位，有明确转正机会！需连续实习至少2个月，实习入职时间灵活！
投递直达：https://game.campus.163.com/position
您可以：
1.负责AIGC在游戏生产、玩法、营销等场景的工具应用建设，包括：AI绘图、AI代码、LLMs应用、音视频生成、机器学习平台等。
2.跟进业界动向，为公司引入前沿 AI 技术，促进AIGC在游戏场景的落地，推进产品规模化应用。"
netease,NetEase,71523,,,,,运维研发工程师（SRE）27届+广,https://hr.163.com/job-detail.html?postId=71523,,,实习生招聘,技术,,,,广州市,,市场中心,,,,,1774408760000,,,,"我们希望您：
- 本科及以上学历，计算机、网络、通信、自动化等相关专业；
- 良好的计算机相关专业素养，熟悉计算机体系、网络体系和协议；
- 良好的逻辑思维、表达沟通和学习能力，善于钻研和解决问题；
- 强烈的责任心、owner意识和团队合作精神，善于和他人协作；
- 熟悉至少一门语言，包括但不仅限于C/C++、Shell、Python等；热爱开源，对 Unix/Linux 有一定了解尤佳。","该岗位为校招实习岗位，有明确转正机会！需连续实习至少2个月，实习入职时间灵活！
投递直达：https://game.campus.163.com/position

您可以：
- 负责网易互娱数百款游戏、基础架构、混合云平台以及数据库云平台的的技术支撑和服务；
- 参与维护国内外十万+的服务器和私有云运维，通过工具开发、流程优化等提高运维质量与效率；
- 通过架构优化、容错设计和立体化监控等方式，帮助国内和海外用户在跨地域等复杂网络下稳定、可靠以及低延迟地使用我们的产品；
- 我们不是机房的搬运工，也不是办公室的IT运维，我们通过工程化方法为产品提供稳定、高效、高可用的计算资源环境！"
netease,NetEase,63700,,,,,【精英实习生】游戏客户端开发实习生（逆水寒手游）,https://hr.163.com/job-detail.html?postId=63700,,,实习生招聘,游戏程序,,,,杭州市,,雷火事业群,,,,,1753325320000,,,,"我们希望你具备以下条件：
- 计算机或相关专业，本科在读及以上学历；
- 精通C/C++编程语言及其思想；
- 扎实的计算机基础知识，深入理解数据结构，算法，操作系统等知识；
- 良好的逻辑综合分析能力，以及强烈的解决问题的意愿；
- 强烈的求知欲，和与之相适应的学习能力；
- 良好的沟通能力，能清晰、准确的在团队成员中传达自己的想法。
具备以下条件尤佳，但不是必须：
- 熟悉或精通计算机图形图像相关的领域；
- 对于Unity引擎有一定的使用经验
- 熟悉或精通Lua等脚本语言。","你可以：
- 创造和开发世界一流的游戏，倩女幽魂、逆水寒、永劫无间……下一款大作正等待着你；
- 成为最具创造力团队的一员，和国内最顶级的游戏研发团队一起工作，解决各种挑战性问题；
- 构建真实的虚拟世界，与策划一起探讨游戏玩法并实现，你的代码将为无数玩家带来梦幻般的体验；
- 参与客户端方面的需求开发和工具开发。"
netease,NetEase,63703,,,,,【精英实习生】游戏引擎端开发实习生（逆水寒手游）,https://hr.163.com/job-detail.html?postId=63703,,,实习生招聘,游戏程序,,,,杭州市,,雷火事业群,,,,,1753325339000,,,,"我们希望你具备以下条件： 
1、计算机或相关专业，本科及以上学历；
2、热爱游戏和游戏开发； 
3、精通C/C++编程语言及其思想； 
4、扎实的计算机基础知识，深入理解数据结构，算法，操作系统等知识； 5、良好的逻辑综合分析能力，以及强烈的解决问题的意愿； 
6、强烈的求知欲，和与之相适应的学习能力； 
7、良好的沟通能力，能清晰准确的在团队成员中传达自己的想法；
8、有计算机图形学基础，熟悉一种或多种图形API，如DirectX 11/12，OpenGL，Vulkan或Metal。 

具备以下条件尤佳：
1、有渲染、模拟等计算机图形学相关技术学术研究/实践经验；
2、熟悉一种或多种商业游戏引擎，如Unity3D，UnrealEngine等； 
3、有游戏开发相关实践经历。","你可以： 
1、创造和开发世界一流的游戏，倩女幽魂、逆水寒、天谕、永劫无间……下一款大作正等待着你；
 2、成为最具创造力团队的一员，和国内最顶级的游戏研发团队一起工作，解决各种挑战性问题；
 3、构建真实的虚拟世界，你的代码将为无数玩家带来梦幻般的体验；
 4、探索游戏开发最前沿的图形学引擎相关技术，为产品带来前所未有的游戏体验。"
netease,NetEase,63701,,,,,【精英实习生】游戏服务器端开发实习生（逆水寒手游）,https://hr.163.com/job-detail.html?postId=63701,,,实习生招聘,游戏程序,,,,杭州市,,雷火事业群,,,,,1753325293000,,,,"我们希望你具备以下条件：
1、计算机或相关专业，热爱游戏和游戏开发；
2、精通C/C++编程语言及其思想；
3、扎实的计算机基础知识，深入理解数据结构、操作系统、数据库、网络等服务器相关知识；
4、良好的逻辑综合分析能力，以及强烈的解决问题的意愿；
5、强烈的求知欲，和与之相适应的学习能力；
6、良好的沟通能力，能清晰准确的在团队成员中传达自己的想法。

具备以下条件尤佳：
1、熟悉或精通分布式系统设计；
2、熟悉或精通Python或Lua等脚本语言；
3、有游戏开发相关实践经验。","你可以：
1、成为最具创造力团队的一员，和国内外最顶级的游戏研发团队一起工作，解决各种挑战性问题；
2、构建真实的虚拟世界，与策划一起探讨游戏玩法并实现，你的代码将为无数玩家带来梦幻般的体验；
3、参与项目业务系统的服务端开发和维护；
4、参与项目工具的开发与维护。"
netease,NetEase,70307,,,,,游戏客户端开发实习生,https://hr.163.com/job-detail.html?postId=70307,,,实习生招聘,游戏程序,,,,杭州市,,烈酷工作室,,,,,1758198217000,,,,"1、计算机及相关专业本科及以上学历，精通C/C++或C#语言编程，熟悉LUA/Python等脚本语言；
2、良好的3D/OpenGL图形学基础，具有Unity3D的开发经验，熟悉Unity3D引擎架构设计； 
3、良好的逻辑思维和编程习惯，具备独立解决技术问题的能力；
5、	有责任感，有良好的沟通能力，具备团队合作精神；
5、能承受一定的工作压力，对游戏开发充满热情。
6、喜欢创业团队轻松、激情、互动的工作氛围。","1、使用Unity3D引擎进行iOS/Android平台游戏开发；
2、与策划、美术保持良好沟通，确保程序功能与设计需求一致； 
3、研发所需的各类工具，编辑器等内容的再开发以及调整优化； 
4、针对各个发布平台进行游戏性能优化。
"
netease,NetEase,74868,,,,,游戏客户端开发实习生（七日世界）,https://hr.163.com/job-detail.html?postId=74868,,,实习生招聘,游戏程序,,,,上海市,,奇点事业部,,,,,1774407697000,,,,"1. 本科及以上学历在校生或已有读研offer，计算机科学、软件工程或相关专业优先；
2. 掌握 C++或 Python 至少一门编程语言，了解常用数据结构与算法；
3. 有 UE4/UE5、Unity 或其他游戏引擎 的学习或项目经历者优先；
4. 对以下任一方向有学习或实践经验者优先：
   - 物理引擎 / 角色动画 / 渲染管线 / 图形学基础
5. 有个人游戏 Demo、Game Jam 作品、开源项目或相关课程项目经验者优先；
6. 积极主动，善于沟通，具备良好的团队合作意识和责任心；
7. 良好的代码风格和编程习惯，热爱游戏，有较强的学习能力和自驱力；
8. 可 全勤实习，持续实习 4 个月以上。","1. 参与游戏客户端模块的开发与维护；
   - 协助开发角色控制（3C）、枪械系统、战斗系统、UI 系统等核心模块的功能迭代与 Bug 修复
2. 参与游戏客户端性能分析与优化；
   - 协助进行移动端/PC端的性能瓶颈定位与优化，学习并实践卡顿分析、内存管理等相关技术
3. 参与游戏开发工具链及编辑器的辅助开发；
   - 协助完善游戏编辑器功能或开发内部效率工具，提升团队开发效率"
